DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-10,102.67,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-11,103.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-12,102.52,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-01,94.63,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-02,94.78,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-03,100.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-04,102.39,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-05,102.58,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-06,101.98,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-07,94.74,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-08,95.42,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-09,100.27,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-10,102.76,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-11,103.31,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2007-12,102.55,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2008-01,94.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2008-02,94.66,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2008-03,99.99,
